Study,headstable,Scan,ROI,CoordSys,Subjects,Women,Gender,Mode,FixedRandom,Stimuli,Method_,Emotion,Valence,EERMean,EERSD,EERRS,Subtraction,Contrast,Target,Ref,Other,Intrascan_cog,x,y,z,zscore,tscore,p_threshold,pcorrection,Region,Notes,SubjectiveWeights,Affect_focus,Cog_load,object_eval,feel_arousal,phys_arous
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,-59,-14,-1,NaN,12.26,0.01,corrected,L_superior_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,-36,14,-24,NaN,8.16,0.01,corrected,L_superior_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,-44,-8,-37,NaN,6.43,0.01,corrected,L_inferior_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,-53,-57,21,NaN,6.36,0.01,corrected,L_superior_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,65,-14,-4,NaN,9.75,0.01,corrected,R_middle_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,53,-39,6,NaN,6.69,0.01,corrected,R_middle_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,55,7,-22,NaN,8.69,0.01,corrected,R_Anterior_Temporal_area,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,42,-52,-24,NaN,7.12,0.01,corrected,R_superior_temporal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,48,-78,-10,NaN,11.59,0.01,corrected,R_middle_occipital_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,42,-52,-24,NaN,7.12,0.01,corrected,Fusiform_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,-40,-86,-12,NaN,10.26,0.01,corrected,L_inferior_occipital_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,-46,-8,41,NaN,6.07,0.01,corrected,L_precentral_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,-48,-4,41,NaN,6.06,0.01,corrected,L_precentral_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,53,-7,45,NaN,6.13,0.01,corrected,R_precentral_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,2,-15,62,NaN,5.51,0.01,corrected,R_Superior_frontal_gyrus,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,0,-59,-24,NaN,7.69,0.01,corrected,L_cerebellum,NaN,1,NaN,no,NaN,neutral,n
Aalto2002,no,PET,no,SPM99,11,11,f,exp,rand,film,visual,sad,neg,no,no,yes,Sadness_film_vs_Neutral_film,1,NaN,NaN,NaN,NaN,12,-74,-35,NaN,6.55,0.01,corrected,R_Cerebellum,NaN,1,NaN,no,NaN,neutral,n
